serial,uprodid,CV_Set,WPI,upurint,rtachv,rtanxt,rtbcar,rtcalm,rtclin,rtcntl,rtcreg,rtdrnk,rtfred,rtfutr,rtheal,rtkeep,rtomta,rtpink,rtposs,rtprov,rtpsup,rtresl,rtsmle,rttime,rttpas
993,R,1,100,100,75,50,50,75,75,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,75
994,R,5,0,50,75,50,75,75,75,75,75,50,50,50,75,75,50,75,75,75,75,75,75,50,75
995,R,5,100,100,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
996,R,4,0,50,75,75,50,50,50,75,75,75,75,75,100,75,75,100,75,100,75,75,100,75,75
997,R,1,100,100,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
998,R,2,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
999,R,2,100,100,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
1000,R,3,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1001,R,1,50,75,75,75,75,75,75,50,75,75,50,75,75,75,75,50,75,75,75,75,75,75,75
1002,R,1,100,100,75,75,75,50,75,75,75,100,75,75,75,75,75,75,75,75,75,100,75,100,75
1003,R,4,100,100,100,75,100,100,75,100,75,100,100,100,100,75,100,75,100,100,75,100,100,100,75
1004,R,1,50,75,75,75,75,75,75,75,75,100,75,75,75,75,75,100,75,100,75,75,75,75,75
1005,R,2,50,75,75,75,50,50,50,75,50,100,100,75,75,50,75,50,50,75,50,75,100,50,50
1006,R,4,0,25,25,25,25,25,25,25,25,25,25,25,25,25,25,50,25,50,25,25,25,25,25
1007,R,1,50,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75
1008,R,1,50,75,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
1009,R,1,50,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,50,75,75,75
1010,R,3,50,75,100,75,100,100,100,100,100,100,100,75,100,100,100,100,100,100,100,100,100,100,100
